Vuosineljannes,Alue,Huoneluku,Rahoitusmuoto,Indeksi,Vuokra_per_nelio
2018Q3,Vantaa,Kolmiot+,Vapaarahoitteinen,105.2,14.89
2018Q4,Helsinki,Yksiot,Vapaarahoitteinen,105.0,25.13
2018Q4,Helsinki,Kaksiot,Vapaarahoitteinen,104.4,19.11
2018Q4,Helsinki,Kolmiot+,Vapaarahoitteinen,105.1,17.28
2018Q4,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,105.3,21.44
2018Q4,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,103.7,17.15
2018Q4,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,103.4,15.49
2018Q4,Vantaa,Yksiot,Vapaarahoitteinen,106.5,20.99
2018Q4,Vantaa,Kaksiot,Vapaarahoitteinen,105.5,16.62
2018Q4,Vantaa,Kolmiot+,Vapaarahoitteinen,105.4,15.24
2019Q1,Helsinki,Yksiot,Vapaarahoitteinen,105.6,25.09
2019Q1,Helsinki,Kaksiot,Vapaarahoitteinen,104.9,18.9
2019Q1,Helsinki,Kolmiot+,Vapaarahoitteinen,105.5,16.95
2019Q1,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,106.0,21.63
2019Q1,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,104.2,16.87
2019Q1,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,103.9,15.03
2019Q1,Vantaa,Yksiot,Vapaarahoitteinen,107.4,21.28
2019Q1,Vantaa,Kaksiot,Vapaarahoitteinen,106.3,16.46
2019Q1,Vantaa,Kolmiot+,Vapaarahoitteinen,106.2,15.13
2019Q2,Helsinki,Yksiot,Vapaarahoitteinen,106.1,25.22
2019Q2,Helsinki,Kaksiot,Vapaarahoitteinen,105.6,19.02
2019Q2,Helsinki,Kolmiot+,Vapaarahoitteinen,106.2,17.11
2019Q2,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,106.5,21.69
2019Q2,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,104.8,17.04
2019Q2,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,104.5,15.14
2019Q2,Vantaa,Yksiot,Vapaarahoitteinen,108.1,21.41
2019Q2,Vantaa,Kaksiot,Vapaarahoitteinen,106.8,16.59
2019Q2,Vantaa,Kolmiot+,Vapaarahoitteinen,106.8,15.15
2019Q3,Helsinki,Yksiot,Vapaarahoitteinen,106.5,25.44
2019Q3,Helsinki,Kaksiot,Vapaarahoitteinen,105.9,19.21
2019Q3,Helsinki,Kolmiot+,Vapaarahoitteinen,106.6,17.16
2019Q3,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,107.0,21.8
2019Q3,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,105.1,17.14
2019Q3,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,104.9,15.35
2019Q3,Vantaa,Yksiot,Vapaarahoitteinen,108.4,21.48
2019Q3,Vantaa,Kaksiot,Vapaarahoitteinen,107.1,16.68
2019Q3,Vantaa,Kolmiot+,Vapaarahoitteinen,107.1,15.27
2019Q4,Helsinki,Yksiot,Vapaarahoitteinen,106.9,25.87
2019Q4,Helsinki,Kaksiot,Vapaarahoitteinen,106.5,19.72
2019Q4,Helsinki,Kolmiot+,Vapaarahoitteinen,107.1,17.69
2019Q4,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,107.4,22.11
2019Q4,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,105.6,17.62
2019Q4,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,105.2,15.87
2019Q4,Vantaa,Yksiot,Vapaarahoitteinen,108.7,21.79
2019Q4,Vantaa,Kaksiot,Vapaarahoitteinen,107.6,17.1
2019Q4,Vantaa,Kolmiot+,Vapaarahoitteinen,107.6,15.61
2020Q1,Helsinki,Yksiot,Vapaarahoitteinen,107.4,26.15
2020Q1,Helsinki,Kaksiot,Vapaarahoitteinen,106.9,19.85
2020Q1,Helsinki,Kolmiot+,Vapaarahoitteinen,107.6,17.88
2020Q1,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,108.2,22.48
2020Q1,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,106.1,17.92
2020Q1,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,105.7,16.07
2020Q1,Vantaa,Yksiot,Vapaarahoitteinen,109.2,22.36
2020Q1,Vantaa,Kaksiot,Vapaarahoitteinen,108.1,17.33
2020Q1,Vantaa,Kolmiot+,Vapaarahoitteinen,108.1,15.79
2020Q2,Helsinki,Yksiot,Vapaarahoitteinen,107.8,26.27
2020Q2,Helsinki,Kaksiot,Vapaarahoitteinen,107.3,19.92
2020Q2,Helsinki,Kolmiot+,Vapaarahoitteinen,108.1,18.06
2020Q2,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,108.8,22.67
2020Q2,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,106.6,17.96
2020Q2,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,106.2,16.07
2020Q2,Vantaa,Yksiot,Vapaarahoitteinen,109.9,22.49
2020Q2,Vantaa,Kaksiot,Vapaarahoitteinen,108.7,17.44
2020Q2,Vantaa,Kolmiot+,Vapaarahoitteinen,108.7,15.85
2020Q3,Helsinki,Yksiot,Vapaarahoitteinen,107.8,26.36
2020Q3,Helsinki,Kaksiot,Vapaarahoitteinen,107.4,20.02
2020Q3,Helsinki,Kolmiot+,Vapaarahoitteinen,108.4,18.12
2020Q3,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,109.1,22.72
2020Q3,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,106.8,18.06
2020Q3,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,106.6,16.16
2020Q3,Vantaa,Yksiot,Vapaarahoitteinen,110.3,22.6
2020Q3,Vantaa,Kaksiot,Vapaarahoitteinen,109.0,17.46
2020Q3,Vantaa,Kolmiot+,Vapaarahoitteinen,109.0,15.93
2020Q4,Helsinki,Yksiot,Vapaarahoitteinen,108.2,26.51
2020Q4,Helsinki,Kaksiot,Vapaarahoitteinen,107.6,20.1
2020Q4,Helsinki,Kolmiot+,Vapaarahoitteinen,108.6,18.11
2020Q4,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,109.3,22.83
2020Q4,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,106.8,18.14
2020Q4,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,106.9,16.22
2020Q4,Vantaa,Yksiot,Vapaarahoitteinen,110.4,22.65
2020Q4,Vantaa,Kaksiot,Vapaarahoitteinen,108.9,17.44
2020Q4,Vantaa,Kolmiot+,Vapaarahoitteinen,109.1,15.94
2021Q1,Helsinki,Yksiot,Vapaarahoitteinen,108.5,26.59
2021Q1,Helsinki,Kaksiot,Vapaarahoitteinen,107.7,20.01
2021Q1,Helsinki,Kolmiot+,Vapaarahoitteinen,108.7,18.02
2021Q1,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,109.5,23.1
2021Q1,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,106.9,18.06
2021Q1,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,106.8,16.15
2021Q1,Vantaa,Yksiot,Vapaarahoitteinen,110.5,22.87
2021Q1,Vantaa,Kaksiot,Vapaarahoitteinen,108.7,17.42
2021Q1,Vantaa,Kolmiot+,Vapaarahoitteinen,108.8,15.84
2021Q2,Helsinki,Yksiot,Vapaarahoitteinen,108.7,26.68
2021Q2,Helsinki,Kaksiot,Vapaarahoitteinen,108.0,20.14
2021Q2,Helsinki,Kolmiot+,Vapaarahoitteinen,109.5,18.19
2021Q2,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,110.1,23.2
2021Q2,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,107.3,18.16
2021Q2,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,107.7,16.3
2021Q2,Vantaa,Yksiot,Vapaarahoitteinen,111.2,22.96
2021Q2,Vantaa,Kaksiot,Vapaarahoitteinen,109.4,17.56
2021Q2,Vantaa,Kolmiot+,Vapaarahoitteinen,110.0,16.0
2021Q3,Helsinki,Yksiot,Vapaarahoitteinen,108.8,26.72
2021Q3,Helsinki,Kaksiot,Vapaarahoitteinen,108.1,20.21
2021Q3,Helsinki,Kolmiot+,Vapaarahoitteinen,109.8,18.42
2021Q3,Espoo-Kauniainen,Yksiot,Vapaarahoitteinen,110.1,23.31
2021Q3,Espoo-Kauniainen,Kaksiot,Vapaarahoitteinen,107.4,18.28
2021Q3,Espoo-Kauniainen,Kolmiot+,Vapaarahoitteinen,108.0,16.41
2021Q3,Vantaa,Yksiot,Vapaarahoitteinen,111.3,23.32
2021Q3,Vantaa,Kaksiot,Vapaarahoitteinen,109.5,17.59
2021Q3,Vantaa,Kolmiot+,Vapaarahoitteinen,110.3,16.07
